index,audio_key,type,persian,transliteration,english_or_note,letter
1,name-alef,name,الف,alef,name of letter ا,ا
2,sound-alef,sound,آ,ā,sound of ا (with a/e/o),ا
3,word-alef-ab,word,آب,āb,water,ا
4,word-alef-anar,word,انار,anār,pomegranate,ا
5,name-be,name,بِ,be,name of letter ب,ب
6,sound-be,sound,بَ بِ بُ,ba · be · bo,sound of ب (with a/e/o),ب
7,word-be-baba,word,بابا,bābā,dad,ب
8,word-be-barf,word,برف,barf,snow,ب
9,name-pe,name,پِ,pe,name of letter پ,پ
10,sound-pe,sound,پَ پِ پُ,pa · pe · po,sound of پ (with a/e/o),پ
11,word-pe-pedar,word,پدر,pedar,father,پ
12,word-pe-pa,word,پا,pā,foot,پ
13,name-te,name,تِ,te,name of letter ت,ت
14,sound-te,sound,تَ تِ تُ,ta · te · to,sound of ت (with a/e/o),ت
15,word-te-tup,word,توپ,tup,ball,ت
16,word-te-taj,word,تاج,tāj,crown,ت
17,name-se,name,ثِ,se,name of letter ث,ث
18,sound-se,sound,ثَ ثِ ثُ,sa · se · so,sound of ث (with a/e/o),ث
19,word-se-saniye,word,ثانیه,sāniye,second,ث
20,word-se-servat,word,ثروت,servat,wealth,ث
21,name-jim,name,جیم,jim,name of letter ج,ج
22,sound-jim,sound,جَ جِ جُ,ja · je · jo,sound of ج (with a/e/o),ج
23,word-jim-juje,word,جوجه,juje,chick,ج
24,word-jim-jangal,word,جنگل,jangal,forest,ج
25,name-che,name,چِ,che,name of letter چ,چ
26,sound-che,sound,چَ چِ چُ,cha · che · cho,sound of چ (with a/e/o),چ
27,word-che-chay,word,چای,chāy,tea,چ
28,word-che-cheshm,word,چشم,cheshm,eye,چ
29,name-he-jimi,name,حِ,he (hā-ye jimi),name of letter ح,ح
30,sound-he-jimi,sound,حَ حِ حُ,ha · he · ho,sound of ح (with a/e/o),ح
31,word-he-jimi-hammam,word,حمام,hammām,bath,ح
32,word-he-jimi-heyvan,word,حیوان,heyvān,animal,ح
33,name-khe,name,خِ,khe,name of letter خ,خ
34,sound-khe,sound,خَ خِ خُ,kha · khe · kho,sound of خ (with a/e/o),خ
35,word-khe-khane,word,خانه,khāne,house,خ
36,word-khe-khorshid,word,خورشید,khorshid,sun,خ
37,name-dal,name,دال,dāl,name of letter د,د
